person_id,id,name,character,role
3180,tm82169,Sylvester Stallone,"Robert ""Rocky"" Balboa",ACTOR
7748,tm82169,Talia Shire,"Adrianna ""Adrian"" Pennino",ACTOR
7749,tm82169,Burt Young,Paulie Pennino,ACTOR
7750,tm82169,Carl Weathers,Apollo Creed,ACTOR
7751,tm82169,Burgess Meredith,Mickey Goldmill,ACTOR
7752,tm82169,Thayer David,"George ""Miles"" Jergens",ACTOR
7753,tm82169,Joe Spinell,Tony Gazzo,ACTOR
7754,tm82169,Jimmy Gambina,Mike,ACTOR
7755,tm82169,Bill Baldwin,Fight Announcer,ACTOR
7756,tm82169,Al Silvani,Cut Man,ACTOR
7757,tm82169,George Memmoli,Ice Rink Attendant,ACTOR
7758,tm82169,Jodi Letizia,Marie,ACTOR
7759,tm82169,Diana Lewis,TV Commentator 1,ACTOR
7760,tm82169,George O'Hanlon,TV Commentator 2,ACTOR
7761,tm82169,Larry Carroll,TV Interviewer,ACTOR
7764,tm82169,Stan Shaw,Dipper,ACTOR
7765,tm82169,Don Sherman,Bartender,ACTOR
7766,tm82169,Billy Sands,Club Fight Announcer,ACTOR
7768,tm82169,Pedro Lovell,Club Fighter,ACTOR
7767,tm82169,DeForest Covan,Apollo's Corner,ACTOR
7769,tm82169,Simmy Bow,Club Corner Man,ACTOR
7762,tm82169,Tony Burton,"Tony ""Duke"" Evers",ACTOR
7770,tm82169,Hank Rolike,Apollo Corner Man,ACTOR
7771,tm82169,Shirley O'Hara,Secretary,ACTOR
7772,tm82169,Kathleen Parker,Paulie's Date,ACTOR
7773,tm82169,Frank Stallone,Streetcorner Singer,ACTOR
7763,tm82169,Lloyd Kaufman,Drunk,ACTOR
7774,tm82169,Jane Marla Robbins,Owner of Pet Shop,ACTOR
643128,tm82169,Jack Hollander,Fats,ACTOR
1371763,tm82169,Joe Sorbello,Bodyguard,ACTOR
1372320,tm82169,Christopher Avildsen,Chiptooth,ACTOR
7775,tm82169,Frankie Van,Club Fight Referee,ACTOR
973957,tm82169,Lou Fillipo,Championship Fight Announcer,ACTOR
1371637,tm82169,Paris Eagle,Fighter,ACTOR
954193,tm82169,Frank Stallone,Timekeeper,ACTOR
1372328,tm82169,Robert L. Tangrea,Streetcorner Singer,ACTOR
1372329,tm82169,Peter Glassberg,Streetcorner Singer,ACTOR
1372331,tm82169,William E. Ring,Streetcorner Singer,ACTOR
1372333,tm82169,Joseph C. Giambelluc,Streetcorner Singer,ACTOR
7776,tm82169,Joe Frazier,Himself,ACTOR
1372001,tm82169,Butkus Stallone,Butkus (Rocky's Dog),ACTOR
3827,tm82169,Michael Dorn,Apollo Creed's Bodyguard (uncredited),ACTOR
7777,tm82169,Arnold Johnson,Spectator (uncredited),ACTOR
7778,tm82169,Stu Nahan,Fight Commentator (uncredited),ACTOR
6948,tm82169,Frank Pesce,Spectator (uncredited),ACTOR
7780,tm82169,Lavelle Roby,Mary Anne Creed (uncredited),ACTOR
7781,tm82169,Arthur Tovey,Reporter (uncredited),ACTOR
7779,tm82169,John Pleshette,Aftershave Commercial Director (uncredited),ACTOR
2753903,tm82169,Butkus Stallone,Butkus,ACTOR
7782,tm82169,John G. Avildsen,,DIRECTOR
1509,tm17823,John Travolta,Danny Zuko,ACTOR
51295,tm17823,Olivia Newton-John,Sandy Olsson,ACTOR
25163,tm17823,Stockard Channing,Betty Rizzo,ACTOR
28150,tm17823,Jeff Conaway,Kenickie,ACTOR
33105,tm17823,Barry Pearl,Doody,ACTOR
12208,tm17823,Michael Tucci,Sonny,ACTOR
46107,tm17823,Kelly Ward,Putzie,ACTOR
33104,tm17823,Didi Conn,Frenchy,ACTOR
5747,tm17823,Jamie Donnelly,Jan,ACTOR
82280,tm17823,Dinah Manoff,Marty Maraschino,ACTOR
55217,tm17823,Eve Arden,Principal McGee,ACTOR
65646,tm17823,Frankie Avalon,Teen Angel,ACTOR
51203,tm17823,Joan Blondell,Vi,ACTOR
223076,tm17823,Edd Byrnes,Vince Fontaine,ACTOR
16766,tm17823,Sid Caesar,Coach Calhoun,ACTOR
21355,tm17823,Alice Ghostley,Mrs. Murdock,ACTOR
189,tm17823,Dody Goodman,Blanche,ACTOR
96445,tm17823,Susan Buckner,Patty Simcox,ACTOR
61328,tm17823,Lorenzo Lamas,Tom Chisum,ACTOR
14841,tm17823,Fannie Flagg,Nurse Wilkins,ACTOR
1132350,tm17823,Dick Patterson,Mr. Rudie,ACTOR
13181,tm17823,Eddie Deezen,Eugene Felnic,ACTOR
17903,tm17823,Darrell Zwerling,Mr. Lynch,ACTOR
72139,tm17823,Ellen Travolta,Waitress,ACTOR
514565,tm17823,Annette Charles,Cha Cha DiGregorio,ACTOR
798617,tm17823,Dennis Stewart,"Leo ""Craterface"" Balmudo",ACTOR
680105,tm17823,Barbi Alison,Dancer,ACTOR
1313608,tm17823,Helena Andreyko,Dancer,ACTOR
489558,tm17823,Jennifer Buchanan,Dancer,ACTOR
1313589,tm17823,Carol Culver,Dancer,ACTOR
1313600,tm17823,Cindy DeVore,Dancer,ACTOR
1313588,tm17823,Deborah Fishman,Dancer,ACTOR
36199,tm17823,Antonia Franceschi,Dancer,ACTOR
1085263,tm17823,Sandra Gray,Dancer,ACTOR
662779,tm17823,Mimi Lieber,Dancer,ACTOR
1313987,tm17823,Judy Susman,Dancer,ACTOR
1313989,tm17823,Larry Dusich,Dancer,ACTOR
831634,tm17823,John Robert Garrett,Dancer,ACTOR
1314005,tm17823,Daniel Levins,Dancer,ACTOR
32844,tm17823,Sean Moran,Dancer,ACTOR
1314003,tm17823,Greg Rosatti,Dancer,ACTOR
537073,tm17823,Andy Roth,Dancer,ACTOR
1314014,tm17823,Lou Spadaccini,Dancer,ACTOR
21155,tm17823,Andy Tennant,Dancer,ACTOR
1314007,tm17823,Richard Weisman,Dancer,ACTOR
13499,tm17823,Michael Biehn,Mike (uncredited),ACTOR
11344,tm17823,Wendie Jo Sperber,Dancer (uncredited),ACTOR
28692,tm17823,Randal Kleiser,,DIRECTOR
15032,tm191099,Paul Newman,Henry Gondorff,ACTOR
11605,tm191099,Robert Redford,Johnny Hooker,ACTOR
26228,tm191099,Robert Shaw,Doyle Lonnegan,ACTOR
25703,tm191099,Charles Durning,Lt. Wm. Snyder,ACTOR
19399,tm191099,Ray Walston,J.J. Singleton,ACTOR
18546,tm191099,Eileen Brennan,Billie,ACTOR
7255,tm191099,Harold Gould,Kid Twist,ACTOR
26229,tm191099,John Heffernan,Eddie Niles,ACTOR
26230,tm191099,Dana Elcar,F.B.I. Agent Polk,ACTOR
26231,tm191099,Jack Kehoe,Erie Kid,ACTOR
26240,tm191099,Dimitra Arliss,Loretta,ACTOR
26232,tm191099,Robert Earl Jones,Luther Coleman,ACTOR
26233,tm191099,James Sloyan,Mottola,ACTOR
17005,tm191099,Charles Dierkop,Floyd (Bodyguard),ACTOR
26234,tm191099,Lee Paul,Bodyguard,ACTOR
24841,tm191099,Sally Kirkland,Crystal,ACTOR
26235,tm191099,Avon Long,Benny Garfield,ACTOR
26236,tm191099,Arch Johnson,Combs,ACTOR
26237,tm191099,Ed Bakey,Granger,ACTOR
26238,tm191099,Brad Sullivan,Cole,ACTOR
26239,tm191099,John Quade,Riley,ACTOR
26241,tm191099,Larry D. Mann,Train Conductor,ACTOR
12936,tm191099,Leonard Barr,Burlesque House Comedian,ACTOR
173193,tm191099,Paulene Myers,Alva Coleman,ACTOR
26252,tm191099,Joe Tornatore,Black Gloved Gunman,ACTOR
26242,tm191099,Jack Collins,Duke Boudreau,ACTOR
26243,tm191099,Tom Spratley,Curly Jackson,ACTOR
